# timestamp_grid, lon_SD_grid, lat_SD_grid, taux_c_SD_grid, tauy_c_SD_grid, taux10m_c_SD_grid, tauy10m_c_SD_grid, ucur_SD_grid[:,iz], vcur_SD_grid[:,iz], ucur_SD_grid_bp[:,iz], vcur_SD_grid_bp[:,iz], tau_dot_sfcvel_SD, energy_input_SD, tau10m_dot_sfcvel_SD, energy_input_adj10m_SD
1.693749600000000000e+09 -5.201254079999999647e+01 2.000180639999999954e+01 -1.603122839390714715e-03 -5.203837720778126640e-03 -1.880927860005199986e-03 -6.030738062934689475e-03 -2.000000000000001776e-01 1.790000000000000568e+01 4.135573960280205519e+00 7.635185421471141431e+00 -4.636209897110147313e-04 -3.388140509198436234e+00 -5.382451961783313050e-04 -3.925411126470217393e+00
1.693750200000000000e+09 -5.201233280000000292e+01 2.000153600000000154e+01 -2.488950004708421777e-03 -1.282991304454821633e-03 -2.883748618380873631e-03 -1.426237535214594553e-03 6.999999999999895195e-01 1.830000000000000426e+01 4.304338514562352280e+00 7.503974932239960260e+00 -2.034081795299743571e-04 -3.588249259970732741e+00 -2.311508095608279419e-04 -4.156229928191964795e+00
1.693750800000000000e+09 -5.201218879999999700e+01 2.000108799999999931e+01 -6.476524262764618003e-04 -3.268707330908125156e-03 -7.469836917522894564e-04 -3.738373805118665877e-03 1.400000000000001243e+00 1.610000000000000142e+01 4.470487863532202510e+00 7.366619970029224973e+00 -2.697464701150483054e-04 -3.730195654864239430e+00 -3.087856065645639900e-04 -4.318210853029582630e+00
1.693751400000000000e+09 -5.201203199999999782e+01 2.000053600000000031e+01 -5.521566685523633840e-03 -4.522002226643967275e-03 -6.517094971931389723e-03 -5.270999481496462663e-03 1.299999999999990052e+00 1.610000000000000142e+01 4.633884311774434828e+00 7.223230245870198019e+00 -5.824976449585140756e-04 -3.985868889386308123e+00 -6.827310702948829850e-04 -4.615665856087416863e+00
1.693752000000000000e+09 -5.201173440000000170e+01 1.999997279999999833e+01 -2.018232130889206170e-03 -5.988741094272546049e-03 -2.349626126704333282e-03 -6.992405111749451854e-03 6.200000000000005507e+00 1.360000000000001208e+01 4.794392047873491158e+00 7.073921270705848308e+00 -5.204007909062277355e-04 -4.316738420145730615e+00 -6.072875207074380794e-04 -5.002671433388113265e+00
1.693752600000000000e+09 -5.201122240000000119e+01 1.999908960000000135e+01 -1.614524509267614618e-03 -2.739218701316748893e-03 -1.846490083999829338e-03 -3.111252216383788606e-03 7.000000000000006217e+00 1.810000000000000497e+01 4.951877292866432079e+00 6.918814245422558962e+00 -2.694707262821682565e-04 -4.553699875302249289e+00 -3.066976847428045392e-04 -5.276866995023185680e+00
1.693753200000000000e+09 -5.201061119999999960e+01 1.999816320000000047e+01 -2.793431629403925545e-03 -3.959651173045782360e-03 -3.229084935866447393e-03 -4.593489965166201380e-03 1.049999999999999822e+01 1.069999999999999929e+01 5.106208461049926761e+00 6.758035952605964347e+00 -4.102330920864858711e-04 -4.757611020812845481e+00 -4.753135115349802213e-04 -5.511470353906521069e+00
1.693753800000000000e+09 -5.201001600000000025e+01 1.999714080000000038e+01 -1.211872034282260313e-03 -5.945339953132055058e-03 -1.393922502910151370e-03 -6.912869433460105788e-03 7.200000000000006395e+00 1.750000000000000355e+01 5.257256317496350917e+00 6.591718643117646437e+00 -4.556113011696033338e-04 -5.017364338789672473e+00 -5.289589820650182281e-04 -5.812752101986520259e+00
1.693754400000000000e+09 -5.200951680000000010e+01 1.999591360000000151e+01 -2.951619705875543290e-03 -4.631921710528307846e-03 -3.434434600275082777e-03 -5.381664818546680502e-03 7.297674418604646718e+00 1.341029900332224933e+01 5.404894113082979956e+00 6.419999916744471236e+00 -4.569012896830508845e-04 -5.291118116045468334e+00 -5.311304303981163356e-04 -6.130778925725461015e+00
1.693755000000000000e+09 -5.200908479999999656e+01 1.999546559999999928e+01 -4.456054304480715038e-03 -6.279144971931519166e-03 -5.230300277187608163e-03 -7.333601521970781190e-03 7.099999999999995204e+00 1.810000000000000497e+01 5.548997694924067581e+00 6.243022607597220386e+00 -6.392747908016884612e-04 -5.619970940190889941e+00 -7.480676427864773031e-04 -6.514538347680838726e+00
