# timestamp_grid, lon_SD_grid, lat_SD_grid, taux_c_SD_grid, tauy_c_SD_grid, taux10m_c_SD_grid, tauy10m_c_SD_grid, ucur_SD_grid[:,iz], vcur_SD_grid[:,iz], ucur_SD_grid_bp[:,iz], vcur_SD_grid_bp[:,iz], tau_dot_sfcvel_SD, energy_input_SD
1.694094600000000000e+09 -6.674830719999999928e+01 2.596635200000000054e+01 8.264752795198592947e-03 9.677368492620611051e-02 1.028847070360120255e-02 1.218888131240343231e-01 -7.700000000000006395e+00 -5.499999999999949374e-01 1.976161107745952883e-01 2.705340712044784102e+00 2.634390379893606065e-03 9.826203214558887566e+00
1.694095200000000000e+09 -6.674529280000000142e+01 2.596526079999999936e+01 -1.330697465815024400e-03 7.427711309185686117e-02 -1.784819319555207154e-03 9.361028277883719217e-02 -7.800000000000006928e+00 1.200000000000001066e+00 2.484003134690810910e-01 2.674704203960733828e+00 1.983387609772154728e-03 1.121153661145861591e+01
1.694095800000000000e+09 -6.674377599999999688e+01 2.596454400000000007e+01 -7.979329103194952866e-03 4.424116475250548103e-02 -1.014578135859261696e-02 5.576908327036125129e-02 -8.250000000000001776e+00 8.499999999999952038e-01 3.000747865625627009e-01 2.639589925134318005e+00 1.143841372793673143e-03 1.214970530622836442e+01
1.694096400000000000e+09 -6.674284160000000554e+01 2.596428320000000056e+01 -1.503470081981269323e-02 3.790417618507173347e-02 -1.904412898501790102e-02 4.779228392988549290e-02 -8.699999999999995737e+00 4.999999999999893419e-01 3.525528402769074754e-01 2.600008944361870800e+00 9.325067063311620087e-04 1.277260972996581501e+01
1.694097000000000000e+09 -6.674188800000000299e+01 2.596394240000000053e+01 -1.263970053547029335e-03 4.560166958812641308e-02 -1.679505085935553785e-03 5.746818316186250164e-02 -7.999999999999995559e+00 7.499999999999951150e-01 4.057443646035828744e-01 2.555980203038024978e+00 1.160441159664778914e-03 1.340049408976459766e+01
1.694097600000000000e+09 -6.674121599999999432e+01 2.596374399999999838e+01 -3.897379116881307878e-03 1.951298245935219680e-02 -4.965717562377481090e-03 2.460681605902089245e-02 -7.299999999999995381e+00 1.000000000000000888e+00 4.595559607674817304e-01 2.507530545844574910e+00 4.713833575282151732e-04 1.389004144492249537e+01
1.694098200000000000e+09 -6.674054399999999987e+01 2.596360160000000050e+01 -6.681348245334220969e-03 3.174140018845220124e-02 -8.472560030272363249e-03 4.000763697939544589e-02 -5.699999999999993960e+00 5.000000000000004441e-01 5.138911052928410994e-01 2.454694739259918546e+00 7.448196262469621368e-04 1.425490234005504853e+01
1.694098800000000000e+09 -6.673973119999999426e+01 2.596324639999999917e+01 -4.248139304333729393e-04 2.770525633261124859e-02 -5.698764006316867645e-04 3.490390618430443126e-02 -4.099999999999992539e+00 0.000000000000000000e+00 5.686503487627313502e-01 2.397515473458120994e+00 6.618221016385885573e-04 1.467689485842071484e+01
1.694099400000000000e+09 -6.673900159999999460e+01 2.596294079999999838e+01 1.257299713888750115e-02 4.043223202199748567e-02 1.578265658971559834e-02 5.093652859852553644e-02 -5.199999999999993960e+00 7.499999999999951150e-01 6.237315349126330011e-01 2.336043340968528614e+00 1.022936211793721781e-03 1.518232235245040762e+01
1.694100000000000000e+09 -6.673842559999999935e+01 2.596279679999999956e+01 3.414223229065636769e-03 4.750048156749710898e-02 4.232225497870647536e-03 5.986981208920674064e-02 -6.299999999999994493e+00 1.499999999999990230e+00 6.790300042136003800e-01 2.270336806940730145e+00 1.101604516637170062e-03 1.581968457097967473e+01
1.694100600000000000e+09 -6.674224639999999908e+01 2.596448320000000010e+01 -8.761956246878628216e-03 3.132557787235785290e-02 -1.110954298343652322e-02 3.952253589893329339e-02 -6.650000000000000355e+00 2.399999999999991029e+00 7.344387580268101345e-01 2.200462186651158891e+00 6.249562931927692957e-04 1.633765281392865631e+01
1.694101200000000000e+09 -6.674551040000000057e+01 2.596595840000000166e+01 -2.169166558468166826e-03 1.304477222514091941e-02 -2.777936034285112023e-03 1.647867438901040246e-02 -7.000000000000006217e+00 3.299999999999991829e+00 7.898486046844026554e-01 2.126493625992441405e+00 2.602631180975125617e-04 1.660321863731574155e+01
1.694101800000000000e+09 -6.674853120000000217e+01 2.596731520000000160e+01 -3.005329998013593802e-04 8.350138437594660165e-03 -3.931310164489211782e-04 9.944664422705236026e-03 -7.650000000000002132e+00 2.999999999999991562e+00 8.451483171161434660e-01 2.048513069917553331e+00 1.685137276601361570e-04 1.673185169104303682e+01
1.694102400000000000e+09 -6.675063040000000569e+01 2.596867040000000060e+01 5.761322581396267212e-03 1.172131145870274928e-02 7.206850008346406787e-03 1.477591388145818238e-02 -8.299999999999997158e+00 2.699999999999991296e+00 9.002248028529505897e-01 1.966610202226233062e+00 2.823773618316578402e-04 1.686711901789057677e+01
1.694103000000000000e+09 -6.675311360000000604e+01 2.597030559999999966e+01 5.085488179311979315e-03 1.641027405812302276e-02 6.361480581362248359e-03 2.069273137457716336e-02 -6.899999999999995026e+00 2.499999999999991118e+00 9.549632836777672829e-01 1.880882347849312408e+00 3.572224929011334044e-04 1.705899897431041268e+01
1.694103600000000000e+09 -6.675617920000000538e+01 2.597231520000000060e+01 6.370546391830711475e-03 3.733788037788238201e-02 7.973504022839082370e-03 4.707450676964341357e-02 -5.499999999999993783e+00 2.299999999999990941e+00 1.009247503880808194e+00 1.791434345865751121e+00 7.331781935507741691e-04 1.738611918024598424e+01
1.694104200000000000e+09 -6.675928319999999871e+01 2.597431200000000118e+01 9.252687807918312871e-03 3.190744728224217258e-02 1.160844607837696781e-02 4.021461347086856264e-02 -5.249999999999999112e+00 1.699999999999990408e+00 1.062959979071811611e+00 1.698378404308398926e+00 6.402615623943167054e-04 1.779815110702951131e+01
1.694104800000000000e+09 -6.676257920000000468e+01 2.597652640000000090e+01 1.251865109050597814e-02 3.912265870739562584e-02 1.571814156142926910e-02 4.929379735044765731e-02 -5.000000000000004441e+00 1.099999999999989875e+00 1.115982261844274737e+00 1.601833936362794253e+00 7.663859495746785065e-04 1.822014536062021151e+01
1.694105400000000000e+09 -6.676638719999999694e+01 2.597896799999999828e+01 1.867674576856722876e-02 5.179499012398197655e-02 2.345699834871581985e-02 6.521410026219993938e-02 -5.200000000000004619e+00 -8.000000000000007105e-01 1.168195195239913664e+00 1.501927370586328303e+00 9.961039799601472365e-04 1.874889233948065836e+01
1.694106000000000000e+09 -6.676663039999999683e+01 2.597907520000000048e+01 6.958414613945125560e-02 9.598384140795096497e-02 8.972003977196206514e-02 1.238442726012330686e-01 -5.400000000000004796e+00 -2.699999999999991296e+00 1.219479149954603381e+00 1.398791925310819417e+00 2.191178377062110057e-03 1.970507704658733417e+01
1.694106600000000000e+09 -6.676289280000000304e+01 2.597672319999999857e+01 1.718713260387417369e-02 4.742452394176784047e-02 2.158862262789519246e-02 5.964781451324634859e-02 -3.900000000000003464e+00 -3.899999999999992362e+00 1.269714258414764929e+00 1.292567345522343647e+00 8.312213835247601705e-04 2.061179697476339356e+01
1.694107200000000000e+09 -6.676152319999999918e+01 2.597581440000000086e+01 6.816782508480668558e-03 2.201697217113072688e-02 8.556625453951079846e-03 2.765677623302720614e-02 -2.400000000000002132e+00 -5.099999999999993427e+00 1.318780668142528256e+00 1.183399619194261954e+00 3.504471747424319915e-04 2.096629754224355224e+01
1.694107800000000000e+09 -6.676058879999999363e+01 2.597530719999999960e+01 6.393276221523260493e-03 2.021934198449732226e-02 8.043118101362281558e-03 2.538283044768489122e-02 3.000000000000002665e-01 -6.399999999999995026e+00 1.366558832898420839e+00 1.071440690435035759e+00 3.040061382769397060e-04 2.116263353614936449e+01
1.694108400000000000e+09 -6.675886079999999367e+01 2.597404799999999980e+01 7.118455618813342677e-03 2.384682632302469879e-02 8.976967744319816478e-03 2.993077976285267797e-02 3.000000000000002665e+00 -7.699999999999995737e+00 1.412929842962908022e+00 9.568481688997014789e-01 3.287567048088375216e-04 2.135246238907510019e+01
1.694109000000000000e+09 -6.675718399999999519e+01 2.597293439999999975e+01 9.193304365169517253e-03 2.371618877135967321e-02 1.157677604225619203e-02 2.974681598014342412e-02 2.149999999999996358e+00 -9.050000000000002487e+00 1.457775773670576980e+00 8.397850286646362239e-01 3.331827665069629456e-04 2.155104423046984152e+01
1.694109600000000000e+09 -6.675590400000000102e+01 2.597216639999999899e+01 -9.066033368463625314e-03 4.946918848080243680e-02 -1.138519413107539312e-02 6.208617381221443604e-02 1.299999999999990052e+00 -1.040000000000000924e+01 1.500980004063350526e+00 7.204192952133818828e-01 2.203062309788263715e-04 2.171709092971557808e+01
1.694110200000000000e+09 -6.675436159999999575e+01 2.597113440000000040e+01 -8.104024344621981596e-03 3.947324363553163240e-02 -1.016335018833983313e-02 4.949186323292285861e-02 2.149999999999996358e+00 -1.165000000000000568e+01 1.542427476055701963e+00 5.989237222433531072e-01 1.114159219144210682e-04 2.181660757558355357e+01
1.694110800000000000e+09 -6.675285759999999868e+01 2.597020960000000045e+01 -1.071381034807616798e-03 3.727691747107299974e-02 -1.316715696891447747e-03 4.670824796193524114e-02 3.000000000000002665e+00 -1.290000000000000036e+01 1.582004928705236679e+00 4.754754606627015212e-01 1.602932942905697423e-04 2.189812034044505040e+01
1.694111400000000000e+09 -6.675143679999999335e+01 2.596933920000000029e+01 -2.174035923137485667e-03 3.819936663615948469e-02 -2.701765616428227976e-03 4.788434377531403108e-02 3.049999999999997158e+00 -1.200000000000001066e+01 1.619601149497875259e+00 3.502557285448574254e-01 9.858475910937014738e-05 2.197578375646503090e+01
1.694112000000000000e+09 -6.674994560000000376e+01 2.596831200000000095e+01 1.423133764149064591e-03 4.142147532584126990e-02 1.820977464556110476e-03 5.195500883526030927e-02 3.099999999999991651e+00 -1.110000000000002096e+01 1.655107234948776096e+00 2.234495029106604025e-01 1.161104706072842055e-04 2.204019232538002626e+01
1.694112600000000000e+09 -6.674836480000000449e+01 2.596719519999999903e+01 -1.062933782397721197e-02 5.247486704324982182e-02 -1.333631305604885027e-02 6.582352510145274282e-02 2.199999999999990852e+00 -1.215000000000001634e+01 1.688416835512270398e+00 9.524524048708446489e-02 -1.294877160128837378e-04 2.203617915175834696e+01
1.694113200000000000e+09 -6.674678400000000522e+01 2.596611199999999897e+01 2.653159319327442079e-03 4.804895868213183291e-02 3.348877387726760524e-03 6.023985447512528874e-02 1.299999999999990052e+00 -1.320000000000001172e+01 1.719426374880218322e+00 -3.416540487848732099e-02 2.920299983046109190e-05 2.200609373690361892e+01
