# timestamp_grid lon_SD_grid lat_SD_grid taux_c_SD_grid tauy_c_SD_grid ucur_SD_grid[:,iz] vcur_SD_grid[:,iz] ucur_SD_grid_bp[:,iz] vcur_SD_grid_bp[:,iz] tau_dot_sfcvel_SD energy_input_SD
1.693989600000000000e+09 -6.591584640000000661e+01 1.983711040000000025e+01 -3.912729355462872538e-02 2.405091042397714332e-02 -2.829999999999999005e+01 4.200000000000003730e+00 1.043779910737334893e+00 -3.092316017771433945e+00 1.208316231376696699e-02 5.000834635684860530e+01
1.693990200000000000e+09 -6.591592319999999461e+01 1.983884959999999964e+01 -3.003500311376901960e-02 2.438987768790231575e-02 -2.740000000000000213e+01 5.849999999999999645e+00 8.434093768345688469e-01 -3.189123371855962841e+00 9.656398697914996693e-03 5.653021466035319520e+01
1.693990800000000000e+09 -6.591592319999999461e+01 1.984071520000000177e+01 -2.773197306312261828e-02 1.358953979063825916e-02 -2.650000000000001421e+01 7.499999999999995559e+00 6.419792406722717448e-01 -3.283504636994470260e+00 8.368188346025366708e-03 6.193759077353530529e+01
1.693991400000000000e+09 -6.591565439999999398e+01 1.984274399999999972e+01 -3.549587402341407294e-02 2.069420252540270927e-02 -2.855000000000001137e+01 6.750000000000000000e+00 4.396940739211988025e-01 -3.375344126489997265e+00 1.153093070414940545e-02 6.790732648858774212e+01
1.693992000000000000e+09 -6.591553919999999778e+01 1.984469119999999975e+01 -2.656413315579401330e-02 1.442448585783775647e-02 -3.060000000000000497e+01 6.000000000000005329e+00 2.367588210216204081e-01 -3.464527941028676228e+00 8.994093897143234581e-03 7.406483386897554055e+01
1.693992600000000000e+09 -6.591560320000000672e+01 1.984670399999999901e+01 -3.078015910796330981e-02 2.702249637185313857e-02 -3.200000000000000711e+01 6.500000000000005329e+00 3.337855553902220607e-02 -3.550944106261229471e+00 1.160611317871871641e-02 8.024489599173412557e+01
1.693993200000000000e+09 -6.591579520000000514e+01 1.984868639999999829e+01 -3.133026962402779558e-02 2.664316702252259028e-02 -3.340000000000000568e+01 7.000000000000006217e+00 -1.702417791432778993e-01 -3.634482718133607015e+00 1.232933174600187032e-02 8.742552946915029111e+01
1.693993800000000000e+09 -6.591589759999999387e+01 1.985087520000000083e+01 -2.838211484750966657e-02 1.922806304335459432e-02 -3.360000000000000853e+01 8.350000000000001421e+00 -3.738976229868277712e-01 -3.715036075869799337e+00 1.114193385288335912e-02 9.446690914881585854e+01
1.693994400000000000e+09 -6.591617279999999823e+01 1.985311199999999943e+01 -2.500533477836945975e-02 1.516147689316891221e-02 -3.380000000000001137e+01 9.699999999999997513e+00 -5.773850360369895407e-01 -3.792498797834247259e+00 9.922466413726264631e-03 1.007862292287987458e+02
1.693995000000000000e+09 -6.591631999999999891e+01 1.985524159999999938e+01 -2.335432519778746913e-02 2.100159570475411061e-02 -3.344970809007506318e+01 9.599916597164300569e+00 -7.805009165396841198e-01 -3.866767926789973497e+00 9.828089276796788537e-03 1.067113959359556645e+02
